"time","tweets_predict"
"01-01-10-00",3695
"01-01-10-01",3419
"01-01-10-02",3453
"01-01-10-03",3575
"01-01-10-04",3556
"01-01-10-05",3034
"01-01-10-06",3143
"01-01-10-07",3156
"01-01-10-08",3234
"01-01-10-09",3254
"01-01-10-10",3155
"01-01-10-11",3220
"01-01-10-12",3333
"01-01-10-13",3328
"01-01-10-14",3347
"01-01-10-15",3300
"01-01-10-16",3326
"01-01-10-17",3292
"01-01-10-18",3344
"01-01-10-19",3355
"01-01-10-20",3269
"01-01-10-21",3209
"01-01-10-22",3240
"01-01-10-23",3283
"01-01-10-24",3403
"01-01-10-25",2972
"01-01-10-26",3165
"01-01-10-27",3176
"01-01-10-28",3266
"01-01-10-29",3240
"01-01-10-30",3441
"01-01-10-31",3213
"01-01-10-32",3219
"01-01-10-33",3331
"01-01-10-34",3337
"01-01-10-35",2944
"01-01-10-36",2969
"01-01-10-37",3086
"01-01-10-38",3089
"01-01-10-39",3112
"01-01-10-40",2910
"01-01-10-41",2953
"01-01-10-42",2950
"01-01-10-43",2981
"01-01-10-44",2993
"01-01-10-45",3109
"01-01-10-46",3050
"01-01-10-47",3054
"01-01-10-48",3105
"01-01-10-49",3219
"01-01-10-50",2902
"01-01-10-51",2849
"01-01-10-52",2885
"01-01-10-53",2996
"01-01-10-54",2984
"01-01-10-55",2797
"01-01-10-56",2820
"01-01-10-57",2834
"01-01-10-58",2915
"01-01-10-59",2930
"01-01-11-00",3513
"01-01-11-01",4126
"01-01-11-02",4172
"01-01-11-03",4016
"01-01-11-04",4004
"01-01-11-05",4892
"01-01-11-06",4978
"01-01-11-07",4865
"01-01-11-08",4818
"01-01-11-09",4747
"01-01-11-10",4776
"01-01-11-11",4634
"01-01-11-12",4571
"01-01-11-13",4518
"01-01-11-14",4557
"01-01-11-15",4799
"01-01-11-16",4710
"01-01-11-17",4708
"01-01-11-18",4650
"01-01-11-19",4570
"01-01-11-20",4923
"01-01-11-21",4895
"01-01-11-22",4799
"01-01-11-23",4734
"01-01-11-24",4676
"01-01-11-25",4830
"01-01-11-26",4699
"01-01-11-27",4718
"01-01-11-28",4570
"01-01-11-29",4549
"01-01-11-30",4981
"01-01-11-31",4902
"01-01-11-32",4815
"01-01-11-33",4738
"01-01-11-34",4677
"01-01-11-35",4970
"01-01-11-36",4780
"01-01-11-37",4731
"01-01-11-38",4673
"01-01-11-39",4712
"01-01-11-40",4992
"01-01-11-41",4689
"01-01-11-42",4696
"01-01-11-43",4707
"01-01-11-44",4661
"01-01-11-45",4228
"01-01-11-46",4316
"01-01-11-47",4268
"01-01-11-48",4237
"01-01-11-49",4212
"01-01-11-50",3960
"01-01-11-51",3679
"01-01-11-52",3735
"01-01-11-53",3702
"01-01-11-54",3699
"01-01-11-55",3361
"01-01-11-56",3152
"01-01-11-57",3138
"01-01-11-58",3182
"01-01-11-59",3187
"01-01-12-00",3272
"01-01-12-01",2935
"01-01-12-02",2969
"01-01-12-03",3012
"01-01-12-04",3103
"01-01-12-05",2899
"01-01-12-06",2871
"01-01-12-07",2899
"01-01-12-08",2984
"01-01-12-09",2979
"01-01-12-10",2962
"01-01-12-11",2857
"01-01-12-12",2875
"01-01-12-13",2938
"01-01-12-14",2956
"01-01-12-15",2887
"01-01-12-16",2845
"01-01-12-17",2920
"01-01-12-18",2930
"01-01-12-19",2963
"01-01-12-20",3035
"01-01-12-21",3175
"01-01-12-22",3165
"01-01-12-23",3204
"01-01-12-24",3215
"01-01-12-25",2898
"01-01-12-26",2818
"01-01-12-27",2834
"01-01-12-28",2895
"01-01-12-29",2989
"01-01-12-30",3368
"01-01-12-31",3160
"01-01-12-32",3197
"01-01-12-33",3297
"01-01-12-34",3288
"01-01-12-35",3027
"01-01-12-36",2709
"01-01-12-37",2737
"01-01-12-38",2798
"01-01-12-39",2813
"01-01-12-40",3294
"01-01-12-41",3065
"01-01-12-42",3140
"01-01-12-43",3148
"01-01-12-44",3165
"01-01-12-45",3088
"01-01-12-46",3140
"01-01-12-47",3135
"01-01-12-48",3164
"01-01-12-49",3193
"01-01-12-50",2797
"01-01-12-51",2710
"01-01-12-52",2726
"01-01-12-53",2779
"01-01-12-54",2878
"01-01-12-55",2932
"01-01-12-56",2809
"01-01-12-57",2831
"01-01-12-58",2941
"01-01-12-59",2930
"01-01-13-00",3272
"01-01-13-01",3203
"01-01-13-02",3237
"01-01-13-03",3298
"01-01-13-04",3314
"01-01-13-05",2819
"01-01-13-06",2921
"01-01-13-07",3005
"01-01-13-08",2998
"01-01-13-09",3022
"01-01-13-10",2935
"01-01-13-11",3030
"01-01-13-12",3008
"01-01-13-13",3054
"01-01-13-14",3075
"01-01-13-15",3203
"01-01-13-16",2904
"01-01-13-17",2923
"01-01-13-18",2987
"01-01-13-19",3091
"01-01-13-20",2854
"01-01-13-21",2843
"01-01-13-22",2879
"01-01-13-23",2983
"01-01-13-24",2975
"01-01-13-25",2975
"01-01-13-26",2995
"01-01-13-27",3019
"01-01-13-28",3089
"01-01-13-29",3104
"01-01-13-30",3150
"01-01-13-31",2953
"01-01-13-32",3035
"01-01-13-33",3044
"01-01-13-34",3060
"01-01-13-35",2888
"01-01-13-36",3086
"01-01-13-37",3074
"01-01-13-38",3087
"01-01-13-39",3105
"01-01-13-40",3164
"01-01-13-41",2786
"01-01-13-42",2799
"01-01-13-43",2864
"01-01-13-44",2969
"01-01-13-45",3064
"01-01-13-46",3207
"01-01-13-47",3221
"01-01-13-48",3319
"01-01-13-49",3305
"01-01-13-50",2964
"01-01-13-51",2897
"01-01-13-52",2930
"01-01-13-53",3020
"01-01-13-54",3026
"01-01-13-55",2810
"01-01-13-56",2882
"01-01-13-57",2969
"01-01-13-58",2979
"01-01-13-59",3001
"01-01-14-00",3392
"01-01-14-01",3055
"01-01-14-02",3065
"01-01-14-03",3101
"01-01-14-04",3112
"01-01-14-05",2743
"01-01-14-06",2785
"01-01-14-07",2794
"01-01-14-08",2832
"01-01-14-09",2926
"01-01-14-10",2745
"01-01-14-11",2802
"01-01-14-12",2827
"01-01-14-13",2918
"01-01-14-14",2913
"01-01-14-15",2748
"01-01-14-16",2862
"01-01-14-17",2861
"01-01-14-18",2937
"01-01-14-19",2940
"01-01-14-20",2733
"01-01-14-21",2685
"01-01-14-22",2780
"01-01-14-23",2801
"01-01-14-24",2814
"01-01-14-25",2682
"01-01-14-26",2775
"01-01-14-27",2776
"01-01-14-28",2809
"01-01-14-29",2824
"01-01-14-30",3084
"01-01-14-31",2812
"01-01-14-32",2835
"01-01-14-33",2877
"01-01-14-34",2975
"01-01-14-35",2860
"01-01-14-36",2736
"01-01-14-37",2759
"01-01-14-38",2853
"01-01-14-39",2845
"01-01-14-40",2851
"01-01-14-41",2652
"01-01-14-42",2678
"01-01-14-43",2737
"01-01-14-44",2754
"01-01-14-45",2728
"01-01-14-46",2725
"01-01-14-47",2802
"01-01-14-48",2806
"01-01-14-49",2835
"01-01-14-50",2785
"01-01-14-51",2699
"01-01-14-52",2691
"01-01-14-53",2736
"01-01-14-54",2747
"01-01-14-55",2644
"01-01-14-56",2648
"01-01-14-57",2666
"01-01-14-58",2710
"01-01-14-59",2814
"01-01-15-00",3822
"01-01-15-01",3079
"01-01-15-02",3111
"01-01-15-03",3209
"01-01-15-04",3200
"01-01-15-05",2822
"01-01-15-06",2854
"01-01-15-07",2876
"01-01-15-08",2940
"01-01-15-09",2958
"01-01-15-10",2593
"01-01-15-11",2756
"01-01-15-12",2835
"01-01-15-13",2818
"01-01-15-14",2843
"01-01-15-15",2778
"01-01-15-16",2847
"01-01-15-17",2821
"01-01-15-18",2875
"01-01-15-19",2874
"01-01-15-20",2894
"01-01-15-21",2830
"01-01-15-22",2850
"01-01-15-23",2905
"01-01-15-24",3004
"01-01-15-25",2713
"01-01-15-26",2779
"01-01-15-27",2824
"01-01-15-28",2913
"01-01-15-29",2901
"01-01-15-30",3079
"01-01-15-31",3407
"01-01-15-32",3367
"01-01-15-33",3391
"01-01-15-34",3385
"01-01-15-35",4173
"01-01-15-36",4086
"01-01-15-37",4161
"01-01-15-38",4142
"01-01-15-39",4126
"01-01-15-40",4854
"01-01-15-41",4737
"01-01-15-42",4718
"01-01-15-43",4756
"01-01-15-44",4762
"01-01-15-45",4969
"01-01-15-46",4679
"01-01-15-47",4722
"01-01-15-48",4759
"01-01-15-49",4850
"01-01-15-50",4642
"01-01-15-51",4827
"01-01-15-52",4832
"01-01-15-53",4899
"01-01-15-54",4891
"01-01-15-55",4767
"01-01-15-56",4766
"01-01-15-57",4774
"01-01-15-58",4851
"01-01-15-59",4866
"01-01-16-00",5253
"01-01-16-01",4438
"01-01-16-02",4506
"01-01-16-03",4550
"01-01-16-04",4560
"01-01-16-05",3853
"01-01-16-06",3801
"01-01-16-07",3827
"01-01-16-08",3859
"01-01-16-09",3875
"01-01-16-10",3826
"01-01-16-11",3593
"01-01-16-12",3620
"01-01-16-13",3652
"01-01-16-14",3717
"01-01-16-15",3562
"01-01-16-16",3333
"01-01-16-17",3352
"01-01-16-18",3420
"01-01-16-19",3437
"01-01-16-20",2936
"01-01-16-21",3007
"01-01-16-22",3026
"01-01-16-23",3082
"01-01-16-24",3122
"01-01-16-25",2730
"01-01-16-26",2675
"01-01-16-27",2728
"01-01-16-28",2782
"01-01-16-29",2788
"01-01-16-30",2978
"01-01-16-31",2869
"01-01-16-32",2883
"01-01-16-33",2929
"01-01-16-34",2944
"01-01-16-35",2764
"01-01-16-36",2796
"01-01-16-37",2842
"01-01-16-38",2863
"01-01-16-39",2931
"01-01-16-40",2972
"01-01-16-41",2798
"01-01-16-42",2805
"01-01-16-43",2885
"01-01-16-44",2882
"01-01-16-45",2974
"01-01-16-46",2960
"01-01-16-47",2980
"01-01-16-48",3038
"01-01-16-49",3097
"01-01-16-50",2975
"01-01-16-51",2911
"01-01-16-52",2977
"01-01-16-53",3025
"01-01-16-54",3029
"01-01-16-55",2747
"01-01-16-56",2713
"01-01-16-57",2710
"01-01-16-58",2763
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
"01-01-16-59",2777
